,,,,LANÇAMENTOS POR DATA DE PAGAMENTOS,,,,,,,,,,,,,,
EMPRESA,NOME_EMPREEND,No.Docto.Pgto,CNPJ_CREDOR,CREDOR,No. Documento,TIPO_PAGTO,SUB_TIPO_PAGTO,VCTO,PAGTO,CONCILIACAO,HISTORICO,MULTA,JUROS,CORRECAO,DESCONTO,PAGO,OBSERVACAO,CONTA_FINANCEIRA
CONSTRUTORA R. YAZBEK LTDA,OBRA 001 - ESCRITÓRIO,32724,,TELEFONICA BRASIL S A (VIVO),229120897,TRANSFERENCIA DE ARQUIVOS,CONCESSIONÁRIAS,1/3/2022,1/3/2022,1/3/2022,1598.07,0,0,0,0,1598.07,N.F. NO. 229120897                      - FATURA REF TELEFONE FIXO ,TELEFONIA FIXA
CONSTRUTORA R. YAZBEK LTDA,OBRA 001 - ESCRITÓRIO,32724,,TELEFONICA BRASIL S A (VIVO),231254456,TRANSFERENCIA DE ARQUIVOS,CONCESSIONÁRIAS,1/3/2022,1/3/2022,1/3/2022,408.51,0,0,0,0,408.51,N.F. NO. 231254456                      - INTERNET FIBRA,INTERNET
CONSTRUTORA R. YAZBEK LTDA,OBRA 001 - ESCRITÓRIO,32724,,ESTACIONAMENTOS TREVO LTDA,3852,TRANSFERENCIA DE ARQUIVOS,TITULOS OUTROS BANCOS,1/3/2022,1/3/2022,1/3/2022,1699.98,0,0,0,0,1699.98,N.F. NO. 3852                          ,VEICULOS - OUTRAS
CONSTRUTORA R. YAZBEK LTDA,OBRA 001 - ESCRITÓRIO,32736,,NUBE NÚCLEO BRASILEIRO DE ESTÁGIOS LTDA,1052243,TRANSFERENCIA DE ARQUIVOS,TITULOS OUTROS BANCOS,1/3/2022,1/3/2022,1/3/2022,234.00,0,0,0,0,234.00,N.F. NO. 1052243                       ,PESSOAL - CURSOS
CONSTRUTORA R. YAZBEK LTDA,OBRA 001 - ESCRITÓRIO,32724,,ZIEGLER COMUNICACAO VISUAL OLA LTDA,500,TRANSFERENCIA DE ARQUIVOS,TITULOS OUTROS BANCOS,1/4/2022,1/4/2022,1/4/2022,690.00,0,0,0,0,690.00,N.F. NO. 500                           ,CAMPANHAS E BRINDES
CONSTRUTORA R. YAZBEK LTDA,OBRA 001 - ESCRITÓRIO,32754,,MAGALU PAGAMENTOS LTDA ,60120,TRANSFERENCIA DE ARQUIVOS,TITULOS OUTROS BANCOS,1/5/2022,1/5/2022,1/5/2022,80.41,0,0,0,0,80.41,DOCTO.LIB. No. 60120 - LEITORA DE CERTIFICADO DIGITAL MAGALI,MATERIAL DE ESCRITORIO
CONSTRUTORA R. YAZBEK LTDA,OBRA 001 - ESCRITÓRIO,32754,,SBS COMERCIO E INFORMATICA LTDA,5491,TRANSFERENCIA DE ARQUIVOS,TITULOS MESMO BANCO,1/5/2022,1/5/2022,1/5/2022,6129.61,0,0,0,0,6129.61,N.F. NO. 5491                          ,SOFTWARE - AQUISIÇÃO DE LICEN.
CONSTRUTORA R. YAZBEK LTDA,OBRA 001 - ESCRITÓRIO,2022000065,,K.R.S. PRADO TECNOLOGIA DA INFORMAÇÃO EIRELI,20,BORDERO, ,1/5/2022,1/5/2022,1/5/2022,13000.00,0,0,0,0,13000.00,N.F. NO. 20                            ,SOFTWARE - AQUISIÇÃO DE LICEN.
CONSTRUTORA R. YAZBEK LTDA,OBRA 001 - ESCRITÓRIO,32754,,SINESTEC SOLUCOES EM TECNOLOGIA LTDA ME,,TRANSFERENCIA DE ARQUIVOS,TITULOS MESMO BANCO,1/5/2022,1/5/2022,1/5/2022,11574.64,0,0,0,0,11574.64,REF SERVIÇOS DE HOSPEDAGEM E SUPORTE A SERVIDORES ,SOFTWARE - AQUISIÇÃO DE LICEN.
